time	V(vcc)	V(vin)
5.032710985648472e-003	9.000000e+000	8.448250e-003
5.038997295083410e-003	9.000000e+000	9.354154e-003
5.042767641313417e-003	9.000000e+000	9.714309e-003
5.045939087149758e-003	9.000000e+000	9.894839e-003
5.049020141795374e-003	9.000000e+000	9.967810e-003
5.052635707633443e-003	9.000000e+000	9.924457e-003
5.057289879798688e-003	9.000000e+000	9.655458e-003
5.064830311658854e-003	9.000000e+000	8.741341e-003
5.076814995458933e-003	9.000000e+000	6.432351e-003
5.088265604807996e-003	9.000000e+000	3.503322e-003
5.097681234258643e-003	9.000000e+000	7.117236e-004
5.106439762713277e-003	9.000000e+000	-1.971495e-003
5.115206306907827e-003	9.000000e+000	-4.508898e-003
5.124147734047903e-003	9.000000e+000	-6.748759e-003
5.132824809130169e-003	9.000000e+000	-8.468268e-003
5.138994916131249e-003	9.000000e+000	-9.354871e-003
5.142765873036552e-003	9.000000e+000	-9.714183e-003
5.145936887988934e-003	9.000000e+000	-9.894741e-003
5.149019651165858e-003	9.000000e+000	-9.967788e-003
5.152635525129423e-003	9.000000e+000	-9.924460e-003
5.157289583016871e-003	9.000000e+000	-9.655484e-003
5.164829833272199e-003	9.000000e+000	-8.741416e-003
5.176814248529585e-003	9.000000e+000	-6.432519e-003
5.188265231875269e-003	9.000000e+000	-3.503678e-003
5.197649243058730e-003	9.000000e+000	-7.216574e-004
5.206377314673371e-003	9.000000e+000	1.952892e-003
5.215113659968881e-003	9.000000e+000	4.483750e-003
5.224057318502559e-003	9.000000e+000	6.728911e-003
5.232708007667891e-003	9.000000e+000	8.447739e-003
5.238996177728046e-003	9.000000e+000	9.354016e-003
5.242766810779495e-003	9.000000e+000	9.714250e-003
5.245938054237007e-003	9.000000e+000	9.894793e-003
5.249019911353500e-003	9.000000e+000	9.967800e-003
5.252635621913857e-003	9.000000e+000	9.924459e-003
5.257289740404425e-003	9.000000e+000	9.655470e-003
5.264830086967392e-003	9.000000e+000	8.741376e-003
5.276814644637011e-003	9.000000e+000	6.432430e-003
5.288265429645007e-003	9.000000e+000	3.503361e-003
5.297682180373194e-003	9.000000e+000	7.114292e-004
5.306441771727998e-003	9.000000e+000	-1.972093e-003
5.315209370673779e-003	9.000000e+000	-4.509728e-003
5.324150732049067e-003	9.000000e+000	-6.749422e-003
5.332828272221747e-003	9.000000e+000	-8.468852e-003
5.338996325375906e-003	9.000000e+000	-9.355042e-003
5.342766920526344e-003	9.000000e+000	-9.714258e-003
5.345938190726329e-003	9.000000e+000	-9.894799e-003
5.349019941804083e-003	9.000000e+000	-9.967801e-003
5.352635633240841e-003	9.000000e+000	-9.924458e-003
5.357289758823981e-003	9.000000e+000	-9.655469e-003
